ticket,cost,month,location_from,location_to,duration,distance,assistance,energy_used,energy_collected
single,0.35,9,MICROTEKNIA,PUIJONLAAKSO,411.0,2150,1,19.0,2.7
single,1.2,5,SATAMA,KEILANKANTA,1411.0,7130,1,53.8,15.3
savonia,0.0,9,TASAVALLANKATU,NEULAMÄKI,1308.0,5420,1,43.0,9.9
savonia,0.0,10,TORI,KAUPPAKATU,1036.0,1180,1,6.5,2.1
single,0.3,9,TORI,TORI,319.0,1120,1,13.7,1.2
single,1.0,6,NEULAMÄKI,TORI,1185.0,3280,1,21.2,0.0
single,0.7,8,KEILANKANTA,TASAVALLANKATU,817.0,4470,1,27.6,0.6
single,0.35,7,PUIJONLAAKSO,MICROTEKNIA,413.0,2150,1,14.5,10.2
season,0.0,6,NEULAMÄKI,TORI,797.0,4490,1,25.4,12.0
savonia,0.0,9,TORI,TORI,5.0,0,0,0.0,0.0
savonia,0.0,10,TORI,MICROTEKNIA,643.0,3060,1,23.1,6.6
season,0.0,6,SATAMA,KAUPPAKATU,1014.0,1290,1,15.6,0.6
season,0.0,8,TORI,PUIJONLAAKSO,822.0,2340,1,31.5,3.6
single,0.1,5,TORI,TORI,64.0,0,1,0.0,0.0
single,0.1,5,KEILANKANTA,KEILANKANTA,86.0,0,1,0.0,0.0
single,0.4,7,TORI,TASAVALLANKATU,441.0,2080,1,15.1,5.4
season,0.0,7,NEULAMÄKI,TORI,905.0,4560,1,24.6,21.3
savonia,0.0,9,MICROTEKNIA,KEILANKANTA,1337.0,8400,1,30.0,9.3
season,0.0,6,TORI,TORI,233.0,0,1,0.0,0.0
single,0.5,5,TORI,MICROTEKNIA,585.0,3070,1,16.6,8.4
single,0.15,7,TORI,KAUPPAKATU,150.0,380,1,1.4,0.3
season,0.0,6,TASAVALLANKATU,TASAVALLANKATU,38.0,0,1,0.0,0.0
single,0.2,5,KAUPPAKATU,SATAMA,211.0,1040,1,5.1,3.9
single,0.15,5,TASAVALLANKATU,TASAVALLANKATU,138.0,-150,1,0.2,0.0
single,0.05,6,TASAVALLANKATU,TASAVALLANKATU,18.0,0,1,0.0,0.0
season,0.0,4,KAUPPAKATU,KAUPPAKATU,80.0,0,1,0.0,0.0
single,0.05,7,TASAVALLANKATU,TASAVALLANKATU,52.0,0,0,0.0,0.0
single,0.05,7,KAUPPAKATU,KAUPPAKATU,51.0,0,1,0.0,0.0
season,0.0,10,TORI,TORI,233.0,1120,1,6.9,0.9
single,0.3,5,KAUPPAKATU,SATAMA,321.0,1100,1,7.0,6.9
single,0.6,5,TORI,MICROTEKNIA,661.0,3050,1,16.8,8.1
single,0.65,6,NEULAMÄKI,TORI,779.0,4470,1,19.1,8.1
single,0.4,10,TORI,SATAMA,472.0,950,1,4.0,6.0
single,0.15,7,TORI,KAUPPAKATU,131.0,400,1,2.1,0.0
single,0.65,5,KAUPPAKATU,TASAVALLANKATU,754.0,1850,1,9.3,5.4
